Question	Response	Collector	project_Title	Name of PI or project lead(s)	Please enter your name	Type of Project	Project Stage	Year Awarded	Faculty_School	Department	Short description of project	Course Format	Course_Level	Course Type	Enrolment Cap	Course Location	source	target	source long name	target long name	value	matrix
"[INN_IMP.5] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class content delivery (e.g., demos)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - instructor generated	Course specific knowledge	"Content - instructor generated (e.g., videos)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.5] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class content delivery (e.g., demos)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - instructor generated	Lifelong learning skills	"Content - instructor generated (e.g., videos)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.5] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class content delivery (e.g., demos)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - instructor generated	Attitudes and motivation	"Content - instructor generated (e.g., videos)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
"[INN_IMP.5] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class content delivery (e.g., demos)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - instructor generated	Actions and behaviours	"Content - instructor generated (e.g., videos)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.5] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class content delivery (e.g., demos)"	"Instructional team practices (e.g., TA use of time)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - instructor generated	Instructional team practices	"Content - instructor generated (e.g., videos)"	"Instructional team practices (e.g., TA use of time)"	1	innovationXimpact
"[INN_IMP.6] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out of class content delivery (e.g., videos, textbook)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - instructor generated	Course specific knowledge	"Content - instructor generated (e.g., videos)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.6] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out of class content delivery (e.g., videos, textbook)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - instructor generated	Lifelong learning skills	"Content - instructor generated (e.g., videos)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.6] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out of class content delivery (e.g., videos, textbook)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - instructor generated	Attitudes and motivation	"Content - instructor generated (e.g., videos)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
"[INN_IMP.6] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out of class content delivery (e.g., videos, textbook)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - instructor generated	Actions and behaviours	"Content - instructor generated (e.g., videos)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.6] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out of class content delivery (e.g., videos, textbook)"	"Instructional team practices (e.g., TA use of time)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - instructor generated	Instructional team practices	"Content - instructor generated (e.g., videos)"	"Instructional team practices (e.g., TA use of time)"	1	innovationXimpact
[INN_IMP.8] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Community based/service learning	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Community based	Course specific knowledge	"Community based (e.g., community service)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
[INN_IMP.8] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Community based/service learning	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Community based	Lifelong learning skills	"Community based (e.g., community service)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
[INN_IMP.8] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Community based/service learning	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Community based	Attitudes and motivation	"Community based (e.g., community service)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
[INN_IMP.8] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Community based/service learning	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Community based	Actions and behaviours	"Community based (e.g., community service)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
[INN_IMP.8] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Community based/service learning	"Instructional team practices (e.g., TA use of time)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Community based	Instructional team practices	"Community based (e.g., community service)"	"Instructional team practices (e.g., TA use of time)"	1	innovationXimpact
"[INN_IMP.9] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Student generated content (e.g., wikis)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - student generated	Course specific knowledge	"Content - student generated (e.g., wiki, seminar)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.9] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Student generated content (e.g., wikis)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - student generated	Lifelong learning skills	"Content - student generated (e.g., wiki, seminar)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.9] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Student generated content (e.g., wikis)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - student generated	Attitudes and motivation	"Content - student generated (e.g., wiki, seminar)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
"[INN_IMP.9] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Student generated content (e.g., wikis)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - student generated	Actions and behaviours	"Content - student generated (e.g., wiki, seminar)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.9] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Student generated content (e.g., wikis)"	"Instructional team practices (e.g., TA use of time)"	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Content - student generated	Instructional team practices	"Content - student generated (e.g., wiki, seminar)"	"Instructional team practices (e.g., TA use of time)"	1	innovationXimpact
"[IMP_APP.0] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Course/program specific knowledge (e.g., the French revolution, F=ma)"	Interviews	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Course specific knowledge	Interviews	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	Interviews	1	impactXapproach
"[IMP_APP.0] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Course/program specific knowledge (e.g., the French revolution, F=ma)"	Secondary data	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Course specific knowledge	Secondary data	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	Secondary data	1	impactXapproach
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Interviews	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Interviews	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Interviews	1	impactXapproach
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Secondary data	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Secondary data	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Secondary data	1	impactXapproach
"[IMP_APP.2] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Professional competencies (e.g., appropriate use of procedural/clinical skills)"	Interviews	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Interviews	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Interviews	1	impactXapproach
"[IMP_APP.2] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Professional competencies (e.g., appropriate use of procedural/clinical skills)"	Reflective writing	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Reflective writing	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Reflective writing	1	impactXapproach
"[IMP_APP.2] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Professional competencies (e.g., appropriate use of procedural/clinical skills)"	Secondary data	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Secondary data	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Secondary data	1	impactXapproach
"[IMP_APP.3] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Attitudes (e.g., perceptions about discipline)"	Interviews	TLEF	Web-based education segments for UBC Dietetics Major preceptors and students	Karol Traviss	Adriana Briseno	FL/Large TLEF	Completed	2014	"Land and Food Systems, Faculty of"	Food Nutrition and Health	"This project was aimed at transforming a dietetics professional practice course to address challenges with student foundational knowledge application in practice settings, and to enhance student-learning engagement. Students in the revised course established learning priorities related to course themes, and developed / compiled digital content for open access online sharing, using registered dietitians as content advisors. A pilot course was designed and delivered in 2014S, then evaluated in two phases in 2014W. Evaluation findings informed the development of course resources and tools which were implemented in the course in 2015."	"Clinical, community based, internship"	200-400	"Required, Service"	Medium (50-150 students)	On campus (NOT blended)	Attitudes and motivation	Interviews	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	Interviews	1	impactXapproach
